,Unnamed: 0,IPOdate,company,isin,Trading Location,ticker,first_day_return,first_month_return
66,66,2017-03-15,AVANTIUM N.V.,NL0012047823,Amsterdam,AVTX.AS,"Ticker
AVTX.AS    0.0
Name: 2017-03-15 00:00:00, dtype: float64","Ticker
AVTX.AS   -0.040333
dtype: float64"
67,67,2016-09-30,TAKEAWAY.COM N.V.,NL0012015705,Amsterdam,TKWY.AS,"Ticker
TKWY.AS    0.0
Name: 2016-09-30 00:00:00, dtype: float64","Ticker
TKWY.AS   -0.109614
dtype: float64"
68,68,2016-06-10,Basic-Fit,NL0011872650,Amsterdam,BFIT.AS,"Ticker
BFIT.AS    0.0
Name: 2016-06-10 00:00:00, dtype: float64","Ticker
BFIT.AS   -0.103793
dtype: float64"
69,69,2016-06-10,ASR Nederland,NL0011872643,Amsterdam,ASRNL.AS,"Ticker
ASRNL.AS    0.0
Name: 2016-06-10 00:00:00, dtype: float64","Ticker
ASRNL.AS   -0.14275
dtype: float64"
70,70,2016-05-31,Coca-Cola European Partners Plc,GB00BDCPN049,Amsterdam,CCEP.AS,"Ticker
CCEP.AS    0.0
Name: 2016-05-31 00:00:00, dtype: float64","Ticker
CCEP.AS   -0.067
dtype: float64"
71,71,2016-05-27,Philips Lighting,NL0011821392,Amsterdam,LIGHT.AS,"Ticker
LIGHT.AS    0.0
Name: 2016-05-27 00:00:00, dtype: float64","Ticker
LIGHT.AS   -0.056818
dtype: float64"
72,72,2016-05-24,ForFarmers,NL0011832811,Amsterdam,FFARM.AS,"Ticker
FFARM.AS    0.0
Name: 2016-05-24 00:00:00, dtype: float64","Ticker
FFARM.AS   -0.137187
dtype: float64"
73,73,2016-05-12,Sif Holding N.V.,NL0011660485,Amsterdam,SIFG.AS,"Ticker
SIFG.AS    0.0
Name: 2016-05-12 00:00:00, dtype: float64","Ticker
SIFG.AS    0.094286
dtype: float64"
74,74,2016-03-09,Royal Reesink,NL0000379303,Amsterdam,,,
75,75,2015-11-20,ABN AMRO Group,NL0011540547,Amsterdam,ABN.AS,"Ticker
ABN.AS    0.0
Name: 2015-11-20 00:00:00, dtype: float64","Ticker
ABN.AS    0.111717
dtype: float64"
76,76,2015-11-18,Warehouses de Pauw,BE0003763779,Amsterdam,WDP.BRd,,
77,77,2015-11-11,Curetis N.V.,NL0011509294,Amsterdam,,,
78,78,2015-10-15,Intertrust,NL0010937058,Amsterdam,4IT.Fd ,,
79,79,2015-08-10,Altice,NL0011333752,Amsterdam,,,
80,80,2015-07-10,Flow Traders,NL0011279492,Amsterdam,FLOW.AS,"Ticker
FLOW.AS    0.0
Name: 2015-07-10 00:00:00, dtype: float64","Ticker
FLOW.AS   -0.002762
dtype: float64"
81,81,2015-07-02,Kiadis Pharma,NL0011323407,Amsterdam,,,
82,82,2015-03-27,Refresco Gerber,NL0011214010,Amsterdam,,,
83,83,2015-02-06,GrandVision N.V.,NL0010937066,Amsterdam,,,
84,84,2015-02-04,Lucas Bols N.V.,NL0010998878,Amsterdam,,,
85,85,2015-01-15,Klepierre S.A.,FR0000121964,Amsterdam,LI.PA,"Ticker
LI.PA    0.0
Name: 2015-01-15 00:00:00, dtype: float64","Ticker
LI.PA    0.139121
dtype: float64"
86,86,2014-11-24,Mota-Engil Africa N.V.,NL0010969408,Amsterdam,,,
87,87,2014-10-27,Probiodrug AG,DE0007921835,Amsterdam,VVY.AS ,"Ticker
VVY.AS    0.0
Name: 2014-10-27 00:00:00, dtype: float64","Ticker
VVY.AS    0.0
dtype: float64"
