"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2014","12.62","13.06","14.03","12.61","","-0.55%"
"01/05/2014","12.69","15.05","15.12","12.06","","-13.67%"
"12/29/2013","14.70","13.58","15.43","13.57","","10.44%"
"12/22/2013","13.31","13.58","13.64","12.62","","-0.22%"
"12/15/2013","13.34","16.55","16.86","12.77","","-15.30%"
"12/08/2013","15.75","14.50","15.84","13.64","","9.60%"
"12/01/2013","14.37","13.06","15.79","13.06","","12.18%"
"11/24/2013","12.81","12.82","13.12","12.47","","0.79%"
"11/17/2013","12.71","13.59","13.84","12.68","","-0.47%"
"11/10/2013","12.77","14.27","15.19","12.51","","-10.82%"
"11/03/2013","14.32","13.89","14.71","12.51","","3.39%"
"10/27/2013","13.85","13.74","14.21","13.30","","3.67%"
"10/20/2013","13.36","13.77","14.15","12.75","","-1.55%"
"10/13/2013","13.57","16.75","17.94","13.56","","-14.76%"
"10/06/2013","15.92","17.35","20.05","15.91","","-1.97%"
"09/29/2013","16.24","16.20","16.69","15.24","","10.78%"
"09/22/2013","14.66","14.34","14.87","13.72","","6.39%"
"09/15/2013","13.78","15.20","15.63","13.50","","-7.27%"
"09/08/2013","14.86","16.60","17.20","14.68","","-8.67%"
"09/01/2013","16.27","17.73","18.33","15.78","","-8.23%"
"08/25/2013","17.73","14.07","18.59","14.30","","26.01%"
"08/18/2013","14.07","13.53","15.70","13.65","","4.07%"
"08/11/2013","13.52","12.36","14.61","12.33","","9.47%"
"08/04/2013","12.35","13.99","14.73","12.15","","-11.72%"
"07/28/2013","13.99","14.63","112.84","13.97","","-4.37%"
"07/21/2013","14.63","13.86","14.85","13.48","","5.56%"
"07/14/2013","13.86","14.95","16.09","13.70","","-7.29%"
"07/07/2013","14.95","17.45","21.09","14.58","","-14.28%"
"06/30/2013","17.44","17.73","19.39","16.53","","-1.58%"
"06/23/2013","17.72","19.94","22.46","17.19","","-11.09%"
"06/16/2013","19.93","17.27","20.16","16.57","","15.47%"
"06/09/2013","17.26","16.37","19.82","15.90","","5.44%"
"06/02/2013","16.37","15.46","18.47","16.05","","5.95%"
"05/26/2013","15.45","14.11","15.72","13.43","","9.57%"
"05/19/2013","14.10","12.42","14.85","12.91","","13.62%"
"05/12/2013","12.41","12.96","13.77","12.06","","-4.24%"
"05/05/2013","12.96","13.78","14.38","12.36","","-5.95%"
"04/28/2013","13.78","15.26","15.87","13.47","","-9.64%"
"04/21/2013","15.25","15.94","16.92","14.54","","-4.33%"
"04/14/2013","15.94","14.71","18.11","14.87","","8.44%"
"04/07/2013","14.70","16.51","16.73","13.90","","-10.96%"
"03/31/2013","16.51","14.03","17.18","13.80","","17.68%"
"03/24/2013","14.03","14.49","15.29","12.78","","-3.17%"
"03/17/2013","14.49","11.52","14.49","12.40","","25.78%"
"03/10/2013","11.52","11.81","12.88","11.06","","-2.46%"
"03/03/2013","11.81","15.21","16.17","11.37","","-22.35%"
"02/24/2013","15.21","15.08","17.86","14.35","","1.13%"
"02/17/2013","15.04","13.09","15.78","12.70","","14.90%"
