EUROPEAN CODE,LEI,FUND NAME,MANAGEMENT NAME,ADDRESS,INVESTMENT POLICY,CAPITAL VARIABILITY,ISIN CODE
NL0900666,,RBFC Investment Vehicle III B.V.,RB Family Capital Management B.V.,"Museumplein 5 A, 1071 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
NL7340338,,Rhein Invest Co-Investment Veritas Coöperatief U.A.,,"Laan van Kronenburg 14, 1183 , AMSTELVEEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
NL10054633,,SET Fund II Side Fund C.V.,SET MANAGEMENT B.V.,"Keizersgracht 756, 1017 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL6678914,,SevenGen Growth Fund Coöperatief U.A.,SevenGen Investment Partners B.V.,,Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
NL10054518,,Slingshot Ventures 3 Coöperatief U.A.,Slingshot Management B.V.,"Generaal Vetterstraat 82, 1059 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
NL10046381,724500KOHZEOFE7ZKR84,Stichting Juridisch Eigendom Guardian Fund,Privium Fund Management B.V.,"Woudenbergseweg 11, 3953 , MAARSBERGEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL10054634,,Stichting SET Holding II CMF,SET MANAGEMENT B.V.,"Keizersgracht 756, 1017 , AMSTERDAM",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
NL8799855,,TC Fund Invest B.V.,TIIN Capital B.V.,"Gooimeer 6 05, 1411 , NAARDEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
NL10049779,7245001MVNX7G2QRUB69,Teslin Participaties Coöperatief U.A.,Teslin Capital Management B.V.,"Woudenbergseweg 11, 3953 , MAARSBERGEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
NL1529927,,TIIN Capital Co-Invest Coöperatief U.A.,TIIN Capital B.V.,"Gooimeer 6-05, 1411 , NAARDEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
NL10054686,,TIIN Mobility Co-Invest Coöperatief U.A.,TIIN Capital B.V.,"Gooimeer 6     -05, 1411 , NAARDEN",Equities,Closed,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
NL10053892,,TIIN TechFund 3 open C.V.,TIIN Capital B.V.,"Gooimeer 6  05, 1411 , NAARDEN",Equities,Closed,
NL1001272613,,Torqx Capital Partners Fund I Coöperatief U.A.,,"Brediusweg 43, 1401 , BUSSUM",Equities,Closed,
NL2630677,,Torqx Capital Partners Fund II Coöperatief U.A.,,"Brediusweg 43, 1401 , BUSSUM",Equities,Closed,
